Repositorio,Espaço total por conta,Espaço do repositório,Tamanho máximo do arquivo,Número máximo de arquivos,Preço,GitHub,ORCID,DOI,Link
figshare,20 Gb,20 Gb,,,Grátis,Sim,Sim,Sim,https://figshare.com
Zenodo,Infinite,50 Gb,,100,Grátis,Sim,Sim,Sim,https://zenodo.org
Dryad,300 Gb,300 Gb,10 Gb,,Grátis,Sim,Sim,Sim,https://datadryad.org
OSF,,,,,Grátis,Sim,Sim,Sim,https://osf.io
